Teplota (∞C);UhlÌk (%);! CO;! CO2;! H2;! O2;Teplota spalÌn (∞C);V˝öka trysky (cm);! O2 prietok;! Tlak dymnÌk;! Prietok spalÌn;! Akosù;! O2 akumulovanÈ
1243.858;4.32;0;0.405092597;0.373263896;21.74479103;91.00694275;274.5;0;-3.472229004;0;684;0
1230.264;4.247;1.128472209;28.96412086;0.373263896;5.85214138;513.107666;274.5;0;-10.99536133;0;684;0
1259.939;4.308;9.895833015;30.49768448;0.703125;2.307580948;529.123291;274.5;0;-28.35650635;0;684;0
1263.76;4.316;3.76157403;33.73842621;0.460069448;1.439525485;807.439209;274.5;0;-25.46295166;0;684;0
1263.9;4.197;7.725694656;34.11458206;0.963541687;0.752314806;671.840271;274.5;0;-24.88427734;0;684;0
1311.96;4.394;17.21643448;27.17013931;1.644965291;0.368923604;792.847229;274.5;0;-47.45367432;0;684;0
1305.919;4.191;3.587962866;31.79976845;0.442708343;1.236979127;770.78125;274.5;0;-37.03704834;0;684;0
1285.204;4.241;2.372685194;33.1307869;0.412326396;0.824652791;809.574646;274.5;0;-41.66668701;0;684;0
1320.382;4.611;27.8067131;24.42129707;4.0234375;0.484664351;733.767334;274.5;0;-71.18054199;0;684;0
1328.49;4.27;7.204861164;31.30787086;1.354166627;0.499131948;769.001709;274.5;0;-49.76849365;0;684;0
1243.297;4.291;19.53125;24.91319466;3.6328125;0.470196754;558.663208;274.5;0;-87.96295166;0;684;0
1304.992;4.301;43.08449173;21.23842621;3.168402672;0.578703701;414.522583;274.5;0;-58.44909668;0;684;0
1357.851;4.547;7.23379612;29.91898155;0.894097209;0.5859375;868.298584;274.5;0;-9.83795166;0;684;0
1239.343;4.176;0;5.555555344;0.681423604;28.5;151.8663177;274.5;0;13.31018066;0;684;0
1285.38;4.121;8.072916985;31.25;1.723090291;1.186342597;625.928833;274.5;0;-30.09259033;0;684;0
1262.149;4.083;27.05439758;25.57870293;3.342013836;0.282118052;650.130188;274.5;0;-68.28704834;0;596;0
1312.306;4.32;1.359953761;33.33333206;0.247395828;2.271412134;767.578125;274.5;0;-24.30554199;0;596;0
1293.916;4.224;0;0.260416657;0.368923604;21.15885353;109.1579895;274.5;0;-0.578674316;0;596;0
1254.467;3.478;32.08911896;23.98726845;3.645833254;0.520833313;626.284729;274.5;0;-56.13427734;0;596;0
1291.067;4.186;0;0.173611104;0.364583343;21.20225716;116.6319427;274.5;0;0.578674316;0;596;0
1261.266;3.463;22.42476845;26.67823982;2.213541746;0.795717597;628.420166;274.5;0;-39.93054199;0;596;0
1342.578;4.6;21.46990776;21.90393448;3.368055582;0.33998844;767.934021;274.5;0;-28.35650635;0;596;0
1223.371;3.2;10.38773155;33.73842621;1.232638836;1.244212985;603.506958;274.5;0;-18.51849365;0;596;0
1256.564;3.276;2.604166746;29.48495293;0.407986104;3.125;639.453125;274.5;0;-1.736083984;0;597;0
1327.891;4.531;10.6192131;29.07986069;1.592881918;0.716145813;683.585083;274.5;0;13.88891602;0;592;0
1358.052;4.368;11.34259224;30.67129707;1.310763836;0.397858799;756.545166;274.5;0;-4.05090332;0;685;0
1318.192;4.116;7.957175732;33.70949173;1.519097209;0.557002306;611.692688;274.5;0;-9.259277344;0;685;0
1341.244;4.294;10.82175922;31.51041603;2.078993082;0.658275485;622.725708;274.5;0;-17.93981934;0;685;0
1330.408;4.41;1.70717597;32.08911896;0.282118052;2.133970022;736.614563;274.5;0;17.93981934;0;685;0
1349.369;4.44;0;23.61111069;0.247395828;7.284432888;765.086792;274.5;0;19.67590332;0;685;0
1321.649;4.368;3.501157522;33.18865585;0.594618082;4.824942112;377.152771;274.5;0;16.78240967;0;595;0
1322.509;4.496;1.012731433;33.24652863;0.299479157;2.965856552;723.802063;274.5;0;10.41668701;0;595;0
1348.978;4.447;4.745370388;34.02777863;0.828993082;0.549768507;709.210083;274.5;0;2.314819336;0;595;0
1316.335;4.251;0.578703701;34.28819275;0.290798604;2.43778944;476.805542;274.5;0;-1.736083984;0;594;0
1300.104;4.18;24.04513931;26.90972137;3.472222328;0.593171299;603.151062;274.5;0;-38.19445801;0;594;0
1317.299;4.49;5.410879612;30.72916603;1.145833373;0.875289381;644.791687;274.5;0;0.578674316;0;594;0
1336.743;4.475;6.076388836;30.58448982;0.868055582;0.83188659;617.743042;274.5;0;-4.05090332;0;593;0
1296.867;4.099;0.202546299;25.05787086;0.277777791;5.432580948;566.493042;274.5;0;15.04632568;0;593;0
1243.363;4.497;4.542824268;33.9120369;0.525173604;1.099537015;736.614563;274.5;0;16.20367432;0;561;0
1333.378;4.589;10.82175922;34.11458206;1.050347209;0.824652791;625.572937;274.5;0;16.78240967;0;561;0
1312.25;4.458;19.58912086;27.34375;2.751736164;0.687210619;755.477417;274.5;0;12.73150635;0;561;0
1308.157;4.583;4.542824268;36.22685242;0.703125;0.766782403;598.168396;274.5;0;12.152771;0;698;0
1306.596;4.325;14.23611069;29.94791603;6.888020992;0.716145813;727.717041;274.5;0;-1.736083984;0;698;0
1339.333;4.493;13.04976845;32.87036896;1.71875;0.622106493;827.725708;274.5;0;-6.365722656;0;589;0
1363.908;4.61;18.57638931;21.23842621;1.918402791;0.318287045;895.703125;274.5;0;-6.365722656;0;589;0
1343.455;4.482;2.459490776;32.58102036;0.525173604;2.235243082;691.059021;274.5;0;-9.83795166;0;589;0
1330.997;4.595;8.101851463;30.72916603;0.998263896;0.788483799;760.460083;274.5;0;-10.99536133;0;959;0
1327.64;4.58;1.215277791;32.46527863;0.303819448;4.159432888;850.503479;274.5;0;4.629638672;0;959;0
1351.302;4.609;1.186342597;32.46527863;0.264756948;3.081597328;834.131958;274.5;0;3.472229004;0;959;0
1327.827;4.547;25.08680534;27.45948982;2.916666746;0.752314806;725.225708;274.5;0;-27.19909668;0;959;0
1338.998;4.392;7.494213104;31.85763931;1.189236164;0.665509284;865.451416;274.5;0;-6.944458008;0;959;0
1337.715;4.204;1.128472209;34.72222137;0.342881948;2.271412134;833.420166;274.5;0;-12.152771;0;959;0
1373.647;4.47;8.825231552;32.32060242;2.447916746;0.839120388;686.788208;274.5;0;-36.45831299;0;959;0
1310.332;4.506;0.173611104;27.22801018;0.355902791;6.944444656;754.765625;274.5;0;16.20367432;0;138;0
1350.588;4.328;0.839120388;30.41087914;0.247395828;4.159432888;930.581604;274.5;0;15.04632568;0;794;0
1344.515;4.517;0.057870369;29.51388931;0.290798604;7.407407284;785.017334;274.5;0;17.93981934;0;794;0
1363.357;4.574;5.96064806;34.02777863;0.594618082;1.801215291;750.850708;274.5;0;6.944458008;0;794;0
1346.649;4.6;0;0.462962955;0.377604157;20.88397026;140.4774323;274.5;0;6.944458008;0;794;0
1296.104;4.197;40.68286896;19.58912086;4.153645992;0.484664351;717.395813;274.5;0;5.208312988;0;794;0
1322.977;4.609;17.41898155;24.94212914;1.6796875;1.236979127;672.907959;274.5;0;-17.93981934;0;684;0
1369.139;4.485;0.78125;31.39467621;0.321180552;4.188367844;733.055542;274.5;0;10.99536133;0;684;0
1317.984;4.434;2.63310194;34.25925827;0.494791657;1.374421239;733.411438;274.5;0;2.314819336;0;684;0
1392.936;4.569;7.146990776;32.66782379;0.798611104;1.548032403;790.711792;274.5;0;6.365722656;0;684;0
1344.445;4.597;16.20370293;29.2245369;1.875;0.332754642;791.067688;274.5;0;-16.20367432;0;592;0
1335.204;4.367;22.77198982;28.67476845;3.606770754;0.144675925;724.157959;274.5;0;-34.14349365;0;592;0
1367.772;4.3;1.446759224;30.58448982;0.286458343;2.466724634;851.927063;274.5;0;19.67590332;0;592;0
1284.028;4.185;5.989583492;33.15972137;0.828993082;0.332754642;865.451416;274.5;0;-0.578674316;0;592;0
1294.074;4.53;0;24.71064758;0.329861104;9.700520515;664.366333;274.5;0;15.04632568;0;591;0
1237.873;4.45;1.186342597;32.00231552;0.308159709;2.170138836;815.980896;274.5;0;3.472229004;0;591;0
1321.383;4.618;10.73495388;33.96990585;0.941840291;0.665509284;830.572937;274.5;0;4.629638672;0;591;0
1312.755;4.605;6.192129612;26.59143448;0.542534709;1.779513836;1034.149292;274.5;0;-102.430542;0;591;0
1316.101;4.496;0;21.67245293;0.3515625;11.39322948;475.0260315;274.5;0;-24.30554199;0;594;0
1272.9;4.299;0.028935185;28.96412086;0.329861104;7.450809956;713.125;274.5;0;10.99536133;0;594;0
1333.764;4.448;0.173611104;31.27893448;0.494791657;9.939235687;453.671875;274.5;0;-2.314819336;0;594;0
1236.087;4.054;0;23.03240776;0.3125;9.649884224;455.0954895;274.5;0;-9.83795166;0;594;0
1305.298;4.276;19.50231552;27.69097137;2.282986164;0.860821784;602.795166;274.5;0;-21.99072266;0;594;0
1337.187;4.608;1.41782403;31.27893448;0.412326396;2.604166746;693.194458;274.5;0;18.51849365;0;594;0
1293.75;4.19;0.260416657;27.54629707;0.238715276;4.622395992;808.151062;274.5;0;9.83795166;0;594;0
1312.912;4.548;1.041666627;30.81597137;0.238715276;3.016493082;914.210083;274.5;0;16.20367432;0;594;0
1320.469;4.438;0;0.78125;0.368923604;20.92013931;120.902771;274.5;0;15.04632568;0;594;0
1333.894;4.481;7.060184956;33.44907379;1.006944418;2.850115776;518.446167;274.5;0;5.208312988;0;594;0
1287.1;4.355;1.996527791;31.45254707;0.3515625;2.068865776;916.701416;274.5;0;1.736083984;0;694;0
1335.957;4.334;0.752314806;31.94444466;0.277777791;3.573495388;713.125;274.5;0;4.629638672;0;694;0
1273.406;4.2;1.996527791;33.9120369;0.373263896;2.00376153;604.930542;274.5;0;3.472229004;0;698;0
1291.188;4.303;3.76157403;36.63194275;0.616319418;9.049479485;425.199646;274.5;0;-9.259277344;0;694;0
1327.806;4.379;14.46759224;26.67823982;2.222222328;0.593171299;603.862854;274.5;0;-16.20367432;0;454;0
1319.229;4.277;0;11.31365776;0.711805582;28.5;189.9479218;274.5;0;0.578674316;0;454;0
1333.089;4.52;9.17245388;27.05439758;1.306423664;1.005497694;819.895813;274.5;0;-38.77313232;0;673;0
1328.211;4.542;4.542824268;29.07986069;0.889756918;0.434027791;757.256958;274.5;0;-0.578674316;0;673;0
1247.844;4.238;0.260416657;25.75231552;0.1953125;3.920717478;992.152771;274.5;0;-25.46295166;0;673;0
1306.24;4.43;3.732638836;27.22801018;0.442708343;1.989293933;944.817688;274.5;0;-34.14349365;0;606;0
1310.221;4.519;17.07176018;25.52083397;1.2109375;2.05439806;486.059021;274.5;0;-6.365722656;0;195;0
1309.595;4.424;20.57291603;26.79398155;2.282986164;1.671006918;502.430542;274.5;0;-5.208312988;0;693;0
1313.671;4.567;0;8.998842239;0.828993082;28.5;244.4010315;274.5;0;20.83331299;0;693;0
1306.96;4.63;2.430555582;34.43286896;0.394965291;3.537326336;577.526062;274.5;0;-7.523132324;0;195;0
1247.283;4.194;22.71412086;27.31481552;4.227430344;0.448495358;664.722229;274.5;0;-15.625;0;475;0
1297.974;4.254;7.783565044;34.02777863;1.688368082;1.164641261;715.260437;274.5;0;16.78240967;0;475;0
1298.732;4.471;5.700231552;32.98611069;1.540798664;4.810474396;543.359375;274.5;0;9.83795166;0;475;0
1278.726;4.311;0.694444418;29.62962914;0.347222209;5.353009224;664.722229;274.5;0;-4.05090332;0;596;0
1348.686;4.3;4.48495388;29.94791603;0.668402791;1.114004612;782.881958;274.5;0;-20.83331299;0;896;0
1333.194;4.432;0.63657409;26.93865776;0.698784709;14.44589138;358.6458435;274.5;0;13.31018066;0;896;0
1283.812;4.215;2.170138836;14.23611069;0.855034709;4.014757156;414.1666565;274.5;0;-6.944458008;0;896;0
1310.528;4.294;1.475694418;34.0567131;0.451388896;3.016493082;601.371521;274.5;0;6.365722656;0;896;0
1262.128;4.26;5.17939806;32.60995483;0.733506918;1.453993082;583.576416;274.5;0;2.314819336;0;896;0
1226.41;4.13;1.359953761;31.82870293;0.321180552;7.32060194;470.7552185;274.5;0;-8.101867676;0;896;0
