Èas (s);CO (%);CO2 (%);H2 (%);CH4 (%);O2 (%);Teplota (°C)
0;0.00301;0.001719;0.2017;0.000195;3.332704;21.1
1;0.006145;0.004218;0.446893;0.000292;7.499099;21.1
2;0.009984;0.007119;0.691257;0.000292;11.665301;21.1
3;0.012893;0.00958;0.934691;0.000292;15.831375;21.1
4;0.016402;0.013573;1.177778;0.008259;19.998004;21.1
5;0.016499;0.013822;1.219644;0.008064;20.831054;21.1
6;0.015879;0.013246;1.217868;0.007967;20.830712;21.1
7;0.015309;0.013221;1.217289;0.008161;20.831096;21.1
8;0.015975;0.012754;1.217411;0.008551;20.831411;21.1
9;0.014895;0.008846;1.219191;0.000584;20.831305;21.1
10;0.013901;0.006962;1.220442;0.000584;20.831689;21
11;0.014165;0.005039;1.222223;0.000584;20.832052;21.9
12;0.014281;0.002163;1.223601;0.000389;20.832074;21.9
13;0.015003;0.000169;1.225615;0;20.832763;21.8
14;0.025343;0.003677;1.225371;0.024706;20.837348;21.7
15;0.03566;0.007304;1.224735;0.05176;20.842504;21.6
16;0.045508;0.01138;1.224862;0.079758;20.847658;21.6
17;0.053015;0.01381;1.224181;0.102415;20.851666;21.5
18;0.063997;0.020355;1.222858;0.136127;20.85697;21.5
19;0.063463;0.019954;1.223225;0.137296;20.857896;21.5
20;0.061676;0.018924;1.223087;0.133723;20.857392;21.5
21;0.059508;0.016681;1.221363;0.12893;20.856257;21.4
22;0.059506;0.016285;1.220946;0.126401;20.85627;21.4
23;0.056633;0.013092;1.221577;0.120564;20.855669;21.4
24;0.055603;0.013348;1.221454;0.121086;20.854927;21.4
25;0.057319;0.014583;1.222482;0.125714;20.855944;21.5
26;0.059926;0.016921;1.223209;0.132155;20.857758;21.4
27;0.061422;0.01885;1.224145;0.139416;20.858599;21.4
28;0.061047;0.018857;1.223993;0.137162;20.858292;21.1
29;0.061066;0.018496;1.223916;0.135505;20.858417;20.98
30;0.061403;0.018685;1.224171;0.133992;20.858585;20.96
31;0.059031;0.019162;1.223438;0.128063;20.858297;29.78
32;0.102311;0.142043;1.359628;1.222583;20.55658;52.5
33;0.43213;0.572439;1.824556;7.817434;19.318136;85.21
34;0.685283;1.233499;2.003411;11.814406;17.910183;120.81
35;0.94817;1.989889;2.343822;16.298215;16.408708;150.6
36;1.33619;2.46457;2.933917;24.204452;15.027622;183.85
37;1.68364;2.834953;3.414023;30.762894;13.903446;221.5
38;1.788186;2.907474;3.533535;31.940193;13.676239;244.4
39;1.773524;2.521965;3.644282;34.098695;14.224689;260.11
40;1.594118;1.899293;3.540783;34.951872;15.208487;286.14
41;1.311076;1.923238;3.006455;29.375905;15.677854;323.13
42;1.123328;2.519911;2.285821;22.447399;15.508725;330.95
43;0.865547;2.746983;1.772994;18.770436;15.858153;320.48
44;0.727977;2.800194;1.668066;17.848261;16.025977;303.66
45;0.730686;2.931641;1.622629;17.794676;15.914285;290.93
46;0.703587;2.672041;1.760746;20.748;16.225775;273.77
47;0.578079;1.85;2.05835;25.304323;17.238655;251.54
48;0.479516;1.301259;2.190099;26.500276;17.775964;249.19
49;0.459565;1.290857;2.120527;24.084069;17.878755;266.14
50;0.489015;1.730009;1.863365;19.420676;17.54917;276.5
51;0.529097;2.286919;1.562924;14.536812;17.131927;276.67
52;0.595691;3.01186;1.306698;10.25189;16.460965;289.58
53;0.692067;3.698437;1.080346;6.674775;15.765734;307.85
54;0.817073;4.323792;1.08528;7.84;14.990271;328.4
55;0.912851;4.386603;1.298926;10.569463;14.74804;371.54
56;0.997489;4.661532;1.427532;11.012837;14.354916;408.84
