Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
1;684;8387.663;1088;1243.858;162400;4.32;0.418;0.291;0.046;0.002;0.011;23600;9.44;5520;3066;0;3.3;2.911;16.65;8.31;0.015;167000;0
2;684;8219.396;1016;1230.264;160700;4.247;0.411;0.292;0.047;0.003;0.011;28500;9.46;5521;3209;0;3.3;2.915;16.64;8.34;0.014;163100;0
3;684;8157.122;1021;1259.939;155700;4.308;0.398;0.285;0.046;0.004;0.011;32900;9.45;5522;3169;0;3.9;3.523;21.03;8.61;0.024;157800;0
4;684;8177.045;964;1263.76;155600;4.316;0.403;0.286;0.045;0.002;0.011;31900;9.45;5523;3179;0;4.6;3.898;19.18;12.13;0.013;157500;0
5;684;8240.302;1007;1263.9;156000;4.197;0.416;0.257;0.043;0.004;0.011;35200;9.47;5519;3127;0;5.1;4.678;18.95;9.19;0.02;157100;0
6;684;8268.074;978;1311.96;156701;4.394;0.34;0.272;0.039;0.004;0.011;35100;9.47;5523;3145;0;4.6;4.142;20.03;9.43;0.023;157700;0
7;684;8005.817;949;1305.919;155701;4.191;0.272;0.31;0.043;0.004;0.008;35400;9.47;5517;3067;0;5.1;4.63;19.16;9.64;0.023;156700;0
8;684;7933.419;950;1285.204;152400;4.241;0.531;0.31;0.047;0.003;0.014;38200;9.46;5522;3247;361;3.6;3.199;18.63;8.84;0.021;153300;0
9;684;8137.871;949;1320.382;153901;4.611;0.372;0.388;0.048;0.004;0.014;35800;9.46;5514;3298;360;3.7;3.366;15.12;8.85;0.014;154900;0
10;684;7988.547;963;1328.49;149301;4.27;0.649;0.296;0.041;0.004;0.016;40300;9.46;5519;3404;0;3.8;3.407;19.27;8.84;0.017;150300;0
11;684;8104.705;986;1243.297;148101;4.291;0.535;0.252;0.042;0.037;0.013;39000;9.44;5518;3144;0;3.8;3.242;19.38;8.98;0.011;153100;0
12;684;7921.38;991;1304.992;160600;4.301;0.283;0.301;0.044;0.003;0.007;27200;9.45;5523;3173;0;3.3;2.893;17.37;8.66;0.012;162300;0
13;684;7662.733;943;1357.851;144800;4.547;0.826;0.313;0.047;0.003;0.025;40900;9.43;6176;3721;816;3.8;3.45;16.44;8.36;0.024;148500;647.498
14;684;7868.846;990;1239.343;153900;4.176;0.364;0.236;0.043;0.004;0.008;32900;9.44;5519;2783;651;4.2;3.916;14.98;8.13;0.013;155500;458.925
15;684;7990.234;945;1285.38;154700;4.121;0.316;0.302;0.049;0.003;0.009;34700;9.43;5520;2731;0;3.7;3.291;17.77;8.42;0.012;157000;0
16;596;8000.497;959;1262.149;157300;4.083;0.266;0.251;0.04;0.003;0.007;29400;9.42;5523;2650;0;3.7;3.196;19.49;9.46;0.011;160100;0
17;596;8081.294;1014;1312.306;148500;4.32;0.656;0.276;0.045;0.004;0.019;40400;9.43;5518;3114;0;3.7;3.312;18.92;8.88;0.016;150300;0
18;596;7920.375;940;1293.916;155300;4.224;0.524;0.329;0.046;0.003;0.015;33200;9.43;5522;3039;0;3.6;3.212;17.36;8.18;0.014;156400;479.229
19;596;8203.177;1014;1254.467;149000;3.478;0.405;0.185;0.042;0.003;0.008;38800;9.42;11196;2770;0;0;0;0;0;0.012;152200;0
20;596;8054.411;948;1291.067;154100;4.186;0.621;0.312;0.045;0.002;0.016;36300;9.44;5519;3116;972;3.7;3.324;17.57;8.53;0.033;154200;0
21;596;7580.796;903;1261.266;154100;3.463;0.174;0.103;0.033;0.004;0.004;33000;9.42;5521;2541;0;3.5;3.185;17.29;8.09;0.015;158200;0
22;596;8310.429;999;1342.578;145001;4.6;0.757;0.321;0.047;0.004;0.023;43000;9.42;5683;3299;0;3.5;3.12;17.32;8.32;0.034;146000;0
23;596;6457.264;772;1223.371;156000;3.2;0.2;0.12;0.043;0.003;0.02;23800;9.37;5522;2555;0;4.2;3.819;16.02;8.23;0.009;146600;808.334
24;597;6998.279;830;1256.564;165401;3.276;0.31;0.19;0.048;0.004;0.005;23000;9.43;5521;2717;0;3.3;2.957;17.29;8.59;0.007;166400;0
25;959;7240.674;859;1224.208;160501;3.461;0.41;0.193;0.046;0.006;0.007;26000;9.45;4523;2917;0;3.4;3.087;18.26;8.08;0.009;165500;357.256
26;959;8244.947;992;1300.097;145200;4.369;0.737;0.342;0.05;0.008;0.021;45000;9.41;5405;3748;0;3.6;3.177;19.39;8.44;0.011;150200;0
27;959;8387.087;1017;1303.837;144800;4.398;0.815;0.263;0.043;0.008;0.021;45100;9.41;5919;3984;555;3.4;2.936;17.76;9.18;0.013;146700;0
28;959;8189.537;1002;1258.32;143100;3.442;1.407;0.338;0.059;0.008;0.028;46000;9.41;8054;6040;558;0;0;0;0;0.013;144500;0
29;959;8085.374;985;1268.401;147900;4.399;0.593;0.214;0.042;0.008;0.014;42700;9.42;4526;3145;0;3.4;3.026;18.62;8.11;0.017;149500;0
30;959;7247.915;872;1322.538;142600;4.019;0.487;0.195;0.043;0.007;0.01;46200;9.41;4523;3003;0;3.4;3.022;18.98;8.37;0.014;144300;748.853
31;959;8008.462;972;1276.113;142600;4.063;0.49;0.194;0.041;0.008;0.01;48300;9.43;4519;2964;0;3.4;2.994;19.2;8.1;0.012;143300;0
32;959;7944.065;986;1298.934;143600;4.03;1.157;0.317;0.049;0.008;0.027;43700;9.41;7955;5037;0;3.5;3.137;19.6;8.34;0.015;147400;450.035
33;592;8347.952;996;1292.374;144300;4.101;0.836;0.286;0.047;0.003;0.021;42900;9.41;6789;3664;0;3.3;2.898;18.54;8.4;0.013;147000;0
34;592;8014.579;968;1301.408;147900;4.306;0.743;0.273;0.044;0.003;0.018;44100;9.56;6329;3558;0;2.9;2.645;14.11;7.84;0.016;149000;0
35;684;8036.472;951;1296.812;148601;4.195;0.866;0.335;0.05;0.004;0.022;40400;9.54;7070;4048;0;3;2.681;17.49;7.92;0.031;149600;0
36;684;8174.394;984;1326.946;147101;4.568;0.679;0.292;0.045;0.003;0.016;42100;9.55;5650;3283;0;3.2;2.809;17.71;7.83;0.017;148100;0
37;684;7845.638;943;1316.276;143401;4.359;0.968;0.333;0.051;0.002;0.026;45200;9.54;7608;4233;0;3.1;2.711;16.61;8.36;0.014;144400;0
38;684;8394.371;1001;1350.761;148001;4.363;0.644;0.286;0.043;0.003;0.015;42500;9.59;5520;3127;1217;3.4;2.936;18.36;8.63;0.023;154600;0
39;592;8145.896;1008;1318.644;146801;4.115;0.847;0.271;0.05;0.004;0.019;44000;9.53;6524;4173;0;3.1;2.77;16.92;8.43;0.015;147800;0
40;592;8209.429;995;1326.348;147101;4.423;0.872;0.262;0.044;0.003;0.02;43500;9.53;6674;4259;0;3.2;2.898;17.29;7.95;0.017;148100;0
41;592;8056.003;954;1337.452;152601;4.237;0.374;0.251;0.05;0.004;0.007;36100;9.52;4522;2971;0;1.3;1.152;12.45;7.01;0.022;153600;0
42;684;8133.015;971;1331.807;151801;4.285;0.498;0.307;0.054;0.003;0.011;38400;9.55;5519;3016;0;3.2;2.803;16.38;8.12;0.019;152800;0
43;684;8056.763;963;1307.252;145700;4.397;0.692;0.227;0.047;0;0.015;43800;9.55;5611;3133;0;3.1;2.785;16.35;7.25;0.023;147300;0
44;684;8106.869;964;1297.16;151500;4.39;0.413;0.224;0.049;0.004;0.009;36700;9.54;5518;2810;0;3.1;2.819;16.76;7.09;0.016;154800;0
45;592;8077.901;970;1315.294;151300;4.196;0.505;0.28;0.053;0.012;0.011;38800;9.53;0;3043;0;3.6;3.271;18.16;8.1;0.021;152500;0
46;592;8272.492;1024;1327.891;143100;4.531;0.883;0.316;0.053;0.014;0.022;46600;9.53;6255;4103;0;3.6;3.207;17.67;8.63;0.035;146300;0
47;685;8146.672;975;1358.052;147300;4.368;0.713;0.331;0.05;0.004;0.016;42300;9.55;5762;3295;0;3.2;2.906;16.74;8;0.022;149300;0
48;685;8079.302;968;1318.192;146401;4.116;0.724;0.333;0.051;0.003;0.015;42900;9.55;5768;3226;0;3.7;3.385;17.91;8.12;0.02;147400;0
49;685;8202.206;991;1341.244;148600;4.294;0.608;0.399;0.053;0.003;0.015;40400;9.55;6352;3124;473;3.5;3.116;18.13;8.41;0.018;150100;0
50;685;8272.176;1003;1330.408;144000;4.41;0.9;0.49;0.058;0.003;0.027;44700;9.54;8282;3994;689;3.5;3.22;16.56;8.1;0.024;145300;710.624
51;685;8130.829;1002;1349.369;150301;4.44;0.734;0.376;0.047;0.003;0.016;40000;9.56;7307;3372;0;0;0;0;0;0.021;151300;702.662
52;595;8508.585;1018;1321.649;151401;4.368;0.471;0.306;0.049;0;0.012;37900;9.55;7046;2871;0;3.8;3.291;18.87;9.09;0.016;152400;555.887
53;595;8297.839;991;1322.509;151700;4.496;0.562;0.371;0.049;0.003;0.015;38900;9.56;5523;3200;546;3.9;3.264;18.3;10.41;0.015;152100;0
54;595;8223.112;986;1348.978;149301;4.447;0.632;0.384;0.051;0.003;0.017;40300;9.55;5529;3190;0;3.8;3.342;18.46;9.38;0.016;150300;0
55;594;8104.241;978;1316.335;149300;4.251;0.669;0.306;0.046;0.002;0.016;38900;9.54;5526;3083;568;0;0;0;0;0.025;149400;0
56;594;8052.842;968;1300.104;150000;4.18;0.598;0.304;0.047;0.003;0.014;39800;9.55;5532;3124;531;3.8;3.28;18.81;8.48;0.017;150000;0
