Tavba è.;Teplota (°C);Uhlík (%)
1;1672;0.027
2;1644;0.026
3;1674;0.032
4;1675;0.026
5;1630;0.064
6;1667;0.032
7;1672;0.023
8;1669;0.039
9;1652;0.054
10;1672;0.04
11;1668;0.028
12;1635;0.055
13;1667;0.057
14;1625;0.04
15;1674;0.041
16;1694;0.024
17;1692;0.02
18;1641;0.038
19;1678;0.021
20;1666;0.037
21;1667;0.042
22;1689;0.042
23;1612;0.024
24;1666;0.022
25;1608;0.031
26;1630;0.028
27;1635;0.029
28;1632;0.028
29;1630;0.043
30;1582;0.067
31;1616;0.051
32;1606;0.072
33;1675;0.027
34;1648;0.039
35;1642;0.044
36;1692;0.035
37;1648;0.044
38;1646;0.048
39;1641;0.034
40;1661;0.04
41;1657;0.038
42;1684;0.031
43;1649;0.035
44;1641;0.033
45;1664;0.038
46;1646;0.037
47;1699;0.035
48;1693;0.033
49;1654;0.048
50;1632;0.043
51;1672;0.037
52;1679;0.032
53;1673;0.044
54;1693;0.027
55;1706;0.05
56;1660;0.039
57;1660;0.04
58;1679;0.05
59;1653;0.045
60;1672;0.038
61;1680;0.045
62;1651;0.075
63;1656;0.062
64;1675;0.046
65;1642;0.047
66;1647;0.046
67;1635;0.039
68;1642;0.031
69;1642;0.047
70;1640;0.04
71;1632;0.042
72;1635;0.047
73;1636;0.037
74;1675;0.027
75;1651;0.037
76;1678;0.045
77;1656;0.042
78;1688;0.053
79;1667;0.068
80;1639;0.032
81;1654;0.025
82;1668;0.055
83;1661;0.051
84;1661;0.054
85;1642;0.032
86;1648;0.038
87;1639;0.048
88;1598;0.04
89;1674;0.046
90;1655;0.048
91;1671;0.046
92;1640;0.048
93;1678;0.03
94;1655;0.039
95;1631;0.036
96;1673;0.025
97;1692;0.035
98;1693;0.03
99;1666;0.043
100;1660;0.053
101;1642;0.056
102;1670;0.058
103;1651;0.045
104;1655;0.044
105;1676;0.028
106;1633;0.053
107;1667;0.055
108;1652;0.052
109;1650;0.063
110;1666;0.042
111;1650;0.132
112;1682;0.051
113;1646;0.043
114;1670;0.036
115;1692;0.037
116;1639;0.054
117;1637;0.051
118;1653;0.06
119;1642;0.043
120;1658;0.031
121;1652;0.035
122;1663;0.044
123;1621;0.054
124;1694;0.039
125;1630;0.041
126;1642;0.035
127;1658;0.034
128;1622;0.052
129;1629;0.044
130;1577;0.062
131;1603;0.074
132;1660;0.043
133;1647;0.058
134;1664;0.048
135;1669;0.028
136;1660;0.041
137;1679;0.045
138;1671;0.024
139;1622;0.047
140;1675;0.033
141;1658;0.027
142;1677;0.029
143;1678;0.035
144;1654;0.031
145;1668;0.03
146;1673;0.037
147;1642;0.049
148;1679;0.031
149;1630;0.049
150;1683;0.036
151;1640;0.045
152;1656;0.055
153;1661;0.046
154;1648;0.035
155;1638;0.053
156;1618;0.054
157;1650;0.052
158;1655;0.048
159;1647;0.045
160;1650;0.037
161;1681;0.043
162;1683;0.04
163;1681;0.044
164;1665;0.034
165;1619;0.047
166;1625;0.033
167;1631;0.051
168;1652;0.05
169;1640;0.056
170;1639;0.045
171;1644;0.037
172;1666;0.051
173;1687;0.05
174;1665;0.064
175;1657;0.053
176;1647;0.054
177;1647;0.102
178;1671;0.04
179;1673;0.055
180;1644;0.049
181;1636;0.059
182;1641;0.073
183;1638;0.066
184;1687;0.063
185;1658;0.057
186;1658;0.04
187;1670;0.048
188;1673;0.05
189;1636;0.045
190;1685;0.037
191;1704;0.034
192;1640;0.05
193;1672;0.033
194;1657;0.064
195;1684;0.053
196;1666;0.053
197;1644;0.039
198;1611;0.062
199;1683;0.036
200;1639;0.043
201;1675;0.036
202;1653;0.058
203;1664;0.059
204;1638;0.042
205;1623;0.057
206;1653;0.047
207;1651;0.033
208;1635;0.05
209;1697;0.041
210;1640;0.054
211;1647;0.042
212;1629;0.041
213;1650;0.034
214;1627;0.043
215;1612;0.074
216;1630;0.034
217;1644;0.039
218;1634;0.034
219;1631;0.043
220;1677;0.043
221;1642;0.039
222;1664;0.038
223;1625;0.048
224;1649;0.036
225;1636;0.042
226;1647;0.04
227;1648;0.044
228;1648;0.056
229;1637;0.048
230;1667;0.034
231;1641;0.037
232;1648;0.03
233;1683;0.033
234;1679;0.044
235;1661;0.034
236;1689;0.046
237;1678;0.035
238;1686;0.036
239;1669;0.038
240;1623;0.034
241;1644;0.046
242;1627;0.051
243;1634;0.049
244;1642;0.043
245;1652;0.046
246;1664;0.045
247;1632;0.036
248;1625;0.045
249;1631;0.042
250;1651;0.042
251;1643;0.064
252;1635;0.057
253;1668;0.05
254;1624;0.048
255;1651;0.042
256;1666;0.037
257;1638;0.044
258;1657;0.052
259;1715;0.033
260;1716;0.033
261;1690;0.052
262;1697;0.055
263;1689;0.063
264;1689;0.032
265;1671;0.034
266;1685;0.032
267;1723;0.032
268;1671;0.046
269;1667;0.036
270;1644;0.045
271;1678;0.038
272;1637;0.046
273;1649;0.042
274;1697;0.079
275;1582;0.041
276;1625;0.03
277;1669;0.037
278;1659;0.033
279;1586;0.036
280;1679;0.047
281;1654;0.048
282;1658;0.056
283;1645;0.044
284;1649;0.075
285;1700;0.049
286;1697;0.029
287;1683;0.047
288;1623;0.065
289;1683;0.045
290;1672;0.045
291;1649;0.057
292;1673;0.035
293;1665;0.038
294;1644;0.043
295;1658;0.043
296;1664;0.045
297;1651;0.038
298;1670;0.046
299;1677;0.038
300;1695;0.053
301;1634;0.044
302;1675;0.047
303;1666;0.057
304;1663;0.051
305;1674;0.052
306;1687;0.044
307;1688;0.044
308;1678;0.041
309;1660;0.038
310;1640;0.049
311;1674;0.035
312;1646;0.046
313;1680;0.052
314;1654;0.057
315;1640;0.07
316;1624;0.043
317;1639;0.038
318;1640;0.04
319;1659;0.034
320;1658;0.05
321;1632;0.057
322;1652;0.04
323;1651;0.056
324;1647;0.044
325;1612;0.049
326;1689;0.062
327;1606;0.063
328;1653;0.04
329;1642;0.054
330;1648;0.053
331;1686;0.047
332;1679;0.047
333;1701;0.035
334;1670;0.042
335;1673;0.055
336;1692;0.029
337;1657;0.05
338;1684;0.062
339;1714;0.031
340;1645;0.039
341;1649;0.038
342;1677;0.068
343;1687;0.037
344;1653;0.055
345;1671;0.046
346;1674;0.051
347;1668;0.067
348;1660;0.048
349;1631;0.051
350;1660;0.045
351;1611;0.062
352;1673;0.039
353;1622;0.047
354;1646;0.035
355;1638;0.032
356;1638;0.038
357;1646;0.066
358;1649;0.065
359;1599;0.071
360;1633;0.047
361;1681;0.028
362;1667;0.045
363;1694;0.048
364;1692;0.047
