Meraný uhlík (%);Predikovaná teplota (°C);Predikovaný uhlík (°C)
0.027;1671.9000320428172;-0.02836150254301871
0.026;1646.2519094000324;0.016716077556691925
0.032;1671.5628162591106;0.06590781154587773
0.026;1675.1001311093057;0.0008763679771941618
0.064;1675.8217574610865;0.03819373404351785
0.032;1670.7279456539063;0.0336063772221067
0.023;1671.9001331288396;0.01664175305772865
0.039;1654.5783628700005;0.048584464083233456
0.054;1642.4333959263197;0.10419102430284845
0.04;1671.9001121880954;-0.024279147532952197
0.028;1667.8997996303026;0.01666097153776676
0.055;1644.9271450606884;0.07852360552331751
0.057;1646.3031157952578;0.03803667946651114
0.04;1625.0998475770764;-0.01955716510629872
0.041;1657.4065037450691;0.023148075922803227
0.024;1677.4051719143624;-0.0412461594445858
0.02;1685.9847265066462;-0.02791341331592627
0.038;1631.0914934121608;-0.007810199606363158
0.021;1678.1004771708442;-0.036695260855471465
0.037;1666.1000697445802;0.048925964393455604
0.042;1667.0994961245628;0.03561490020478068
0.042;1688.8999128309254;0.05270459489987213
0.024;1611.899927797586;0.0056398456299913274
0.022;1665.8999675605605;-0.03854752172548574
0.031;1608.1000924727166;-0.0015352847548726206
0.028;1630.1001939989133;-0.005799423857210592
0.029;1640.026005433029;0.027177506398466292
0.028;1631.9021539768603;-0.02691314092398138
0.043;1629.900476764747;0.04873696621055741
0.067;1590.9408277952018;0.07502175090871362
0.051;1616.100433848437;0.00889925888960423
0.072;1606.0999267923512;0.05346237911127068
0.027;1664.4862743293215;0.003587010543735239
0.039;1669.7030879923454;0.025036483784959415
0.044;1641.9830293906284;-0.005922916288412627
0.035;1655.4204961306853;0.04274710789817103
0.044;1672.6638378721136;0.027478860438705413
0.048;1645.899765345758;0.07439949097494065
0.034;1668.7535841634406;0.006595718720816615
0.04;1661.1001467773945;0.022569629884131706
0.038;1656.899623724175;0.04858361040349528
0.031;1661.5704033130746;0.09591722067709803
0.035;1662.3535525648847;0.0714519901729088
0.033;1652.3353022254248;0.04326483038633301
0.038;1663.8999836033843;0.03657659694655517
0.037;1664.002532447254;0.030158480063343165
0.035;1670.8828110859017;0.060796981827542326
0.033;1666.820670519499;0.027658502895255302
0.048;1665.4499705326195;0.02667891855587763
0.043;1649.3685695667489;0.03718143630456515
0.037;1671.8994391670717;0.016954310819095167
0.032;1668.1761650386538;0.03267630660872935
0.044;1657.1052846663895;0.0343513249600675
0.027;1668.0790462344626;0.039257209659300726
0.05;1705.8998776286653;0.009533141341875065
0.039;1657.0934445347248;0.024795984093092874
0.04;1665.0914663089636;0.003731869775902827
0.05;1667.9291468910526;0.05273344559552719
0.045;1653.1002082757486;0.04467537535950718
0.038;1671.8999540692198;0.031429595704489235
0.045;1676.0156668184336;0.04466845410053531
0.075;1656.5748373357978;0.09317296904435059
0.062;1655.8998902499063;0.06492255989111502
0.046;1666.5518913662072;0.06728600823190385
0.047;1653.3204376940448;0.030322323429448864
0.046;1647.100047521435;0.07011819930665926
0.039;1650.7429252823115;0.0011543937063816928
0.031;1642.0997980380869;0.04588449312991717
0.047;1661.5448623665225;0.005380055749109117
0.04;1641.849590834433;0.07486040230986264
0.042;1653.3705199902543;0.028999986967616173
0.047;1634.8997390203058;0.008339246625926347
0.037;1672.654553887382;0.06259852431805564
0.027;1674.899955528114;0.03387864926668817
0.037;1651.1004180015752;0.06610950789968638
0.045;1680.3024671399255;0.04728787852555656
0.042;1655.9000099739296;0.0488759906858028
0.053;1675.492412367477;0.04038866437304002
